ID,date,est,cort,pro
s,6/10/2016,1620.697674,446.496124,219.627907
s,6/11/2016,865.9459459,266.8108108,225.7992278
s,6/12/2016,909.1700405,565.5546559,211.0445344
s,6/13/2016,931.9958848,423.5061728,234.8148148
s,6/15/2016,1326.245059,437.1067194,223.9683794
s,6/16/2016,1337.374749,415.3987976,298.5330661
s,6/17/2016,1056.607843,375.6392157,265.0588235
s,6/18/2016,1336.904762,325.468254,216.5
s,6/19/2016,800.8644401,239.2062868,198.3182711
s,6/20/2016,1084.59725,308.0943026,197.2573674
s,6/21/2016,1186.42998,533.6252465,295.2426036
s,6/22/2016,1223.588235,472.854902,234.2823529
s,6/24/2016,679.184466,279.8524272,159.5184466
s,6/25/2016,1785.884615,653.0615385,314.1692308
s,6/29/2016,1721.552063,606.0353635,222.8605108
s,6/30/2016,378,211.808,170.712
s,7/12/2016,2233.245968,544.9596774,315.2177419
s,7/13/2016,1813.232932,585.5662651,326.313253
s,7/14/2016,1539.263566,623.2015504,340.6046512
s,7/17/2016,1351.252567,478.201232,315.7207392
s,7/18/2016,1062.461538,6569.1,336.0461538
s,7/19/2016,1303.360489,539.5845214,314.4684318
s,7/20/2016,885.2046784,543.9610136,290.5263158
s,7/21/2016,2568.915663,10838.38554,458.0963855
s,7/22/2016,1003.436293,744.5328185,297.6602317
s,7/23/2016,1105.038911,566.0389105,454.4824903
s,7/24/2016,868.4879032,568.016129,279.8709677
s,7/25/2016,1064.512922,792.5248509,427.6341948
s,7/26/2016,1018.681542,436.6004057,269.306288
s,7/27/2016,776.4603482,488.1547389,278.3907157
s,7/28/2016,1398.928571,463.8809524,382.2857143
s,7/29/2016,407.5050302,319.2676056,241.1348089
s,7/30/2016,584.1393443,310.8934426,346.5
s,7/31/2016,717.1517672,634.6029106,312.6985447
s,8/1/2016,2656.25,1066.717742,378.7258065
s,8/3/2016,1132.442308,623.1,337.8461538
s,8/4/2016,921.7115385,600.0230769,250.8923077
s,8/5/2016,939.2563601,1099.819961,389.1663405
s,8/6/2016,991.1646586,550.5783133,247.5180723
s,8/7/2016,676.5936255,473.3784861,204.4541833
s,8/8/2016,561.8825911,402.2672065,236.3319838
s,8/9/2016,434.198783,957.4442191,171.6024341
s,8/10/2016,782.7920792,474.1782178,250.360396
s,8/12/2016,382.7868852,345.0163934,192.2459016
s,8/13/2016,477.1760155,528.8355899,182.2978723
s,8/14/2016,923.8030888,443.6293436,388.4247104
s,8/15/2016,784.0667976,490.0196464,252.1414538
s,8/16/2016,386.2896825,349.1746032,186.5714286
s,8/17/2016,678.8247423,448.6762887,181.0391753
s,8/18/2016,773.6923077,850.6384615,267.6461538
s,8/19/2016,643.5502959,432.6390533,270.816568
s,8/20/2016,593.4081633,465.6244898,177.355102
s,8/21/2016,653.976834,474.6254826,196.6795367
s,8/21/2016,1457.302505,714.4971098,399.1907514
s,8/22/2016,802.2016461,486,312.6666667
s,8/23/2016,351.2903226,402.4435484,150.8709677
s,8/24/2016,490.3076923,324.6,148.8461538
s,8/25/2016,628.6902287,443.027027,181.4968815
s,8/26/2016,527.4949495,429.6,232.4363636
s,8/27/2016,707.4609375,590.5546875,212.765625
s,8/28/2016,734.0612245,564.0489796,239.8040816
s,8/29/2016,702.6061776,630.3011583,213.5675676
s,8/30/2016,582.4564797,549.9651838,217.3926499
s,8/31/2016,467.75,367.3615385,131.8153846
s,9/1/2016,788.5214008,463.0505837,224.1245136
s,9/2/2016,1150.28866,565.5092784,287.257732
s,9/3/2016,1056.742739,602.340249,317.2033195
s,9/4/2016,583.0538922,533.3333333,182.8023952
s,9/5/2016,926.0208333,470.4416667,270.3
s,9/6/2016,709.2213115,410.0655738,184.8688525
s,9/7/2016,893.5009671,445.8800774,251.582205
s,9/8/2016,872.972973,351.7065637,148.030888
s,9/9/2016,1137.369478,339.1084337,217.5903614
s,9/10/2016,724.5631068,504.768932,211.176699
s,9/11/2016,1047.7842,572.7013487,277.8728324
s,9/12/2016,811.2127237,381.3518887,269.6779324
s,9/13/2016,1215.516529,496.338843,227.4545455
s,9/14/2016,923.9615385,391.8,241.2692308
s,9/15/2016,1706.933868,630.2284569,306.757515
s,9/16/2016,1443.747535,646.556213,424.5443787
s,9/18/2016,1416.647287,470.1627907,294.1395349
s,9/19/2016,1247.288802,516.589391,309.1473477
s,9/20/2016,702.3865878,338.1333333,183.3454545
s,9/21/2016,1357.267442,528.1609658,224.6921529
s,9/22/2016,1183.280943,586.7111984,300.4479371
s,9/23/2016,652.5252525,387.2161616,186.8363636
s,9/24/2016,1479.71831,621.8028169,264.7484909
s,9/25/2016,1009.089147,292.8604651,233.6511628
s,9/26/2016,816.7983368,253.3970894,241.4469854
s,9/27/2016,984.1796875,495.328125,230.8359375
s,9/28/2016,1221.184466,480.9786408,237.8097087
s,9/29/2016,786.0810811,263.3050193,186.6718147
s,9/30/2016,1158.784861,428.2948207,281.7609562
s,10/1/2016,1552.638889,632.5952381,346.2142857
s,10/2/2016,2022.123016,814.3984064,393.9920319
s,10/3/2016,1046.115538,418.1014199,259.3022312
s,10/5/2016,445.1318458,188.16826,160.4512428
s,10/6/2016,1448.833652,560.2380952,358.0714286
s,10/7/2016,837.9166667,350.2268041,211.843299
s,10/8/2016,2567.525773,751.2298137,275.0310559
s,10/9/2016,1416.480331,485.4566474,302.8439306
s,10/10/2016,1907.880539,394.5497076,263.8596491
s,10/11/2016,838.4795322,224.4291498,157.9919028
s,10/12/2016,806.8825911,333.6296296,198.0740741
s,10/13/2016,1120.534979,482.3953488,212.9302326
s,10/14/2016,1672.189922,878.9491283,373.8428469
s,10/16/2016,991.9035109,312.9677419,287.0564516
s,10/16/2016,725.9072581,223.8884462,219.6573705
s,10/17/2016,1158.187251,545.5687885,287.1129363
s,10/18/2016,655.9958932,300.4243615,188.4872299
s,10/19/2016,917.2336066,329.704918,281.8770492
s,10/20/2016,945.6346154,448.4076923,246.1846154
s,10/21/2016,676.743738,253.0867052,202.7514451
s,10/23/2016,1226.178862,478.3902439,281.5609756
s,10/24/2016,751.9111969,286.6100386,268.8880309
s,10/24/2016,651.3786408,153.9262136,133.1883495
s,10/25/2016,570.019685,245.4330709,126.4488189
s,10/26/2016,726.8918919,295.9227799,206.1312741
s,10/27/2016,1133.668639,496.7337278,252.4970414
s,10/28/2016,410.6949807,267.9150579,109.2277992
s,10/29/2016,1100.355731,345.4387352,238.1264822
s,10/30/2016,580.8070866,274.6062992,140.2204724
s,10/31/2016,1480.714286,431.6428571,320.7857143
s,11/1/2016,795.7729941,440.8062622,164.9706458
s,11/2/2016,1161.085271,343.2790698,208.3255814
s,11/3/2016,849.3897638,242.1732283,233.4330709
s,11/4/2016,1339.108527,495.9069767,320.9302326
s,11/5/2016,788.4807692,175.5692308,199.5230769
s,11/6/2016,1771.472868,651.9069767,240.1395349
s,11/7/2016,998.9980354,413.1630648,246.978389
s,11/8/2016,1621.964981,437.0661479,305.3696498
s,11/9/2016,1532.135922,327.7281553,261.7864078
s,11/10/2016,1735.647969,561.4700193,317.106383
s,11/11/2016,937.0020121,279.6458753,268.5150905
s,11/12/2016,796.8665377,282.0119284,324.5725646
s,11/13/2016,466.861167,265.787234,191.2804642
s,11/14/2016,438.6282306,231.6614173,272.2677165
s,11/15/2016,861.1992263,244,305.5473888
s,11/16/2016,1045.137795,295.1020408,271.9133858
s,11/17/2016,694.9418605,177.1860465,296.9302326
s,11/18/2016,1181.095618,288.3585657,322.5657371
s,11/19/2016,3297.880539,570.4508671,523.9075145
s,11/20/2016,893.7860082,179.8271605,264.5925926
s,11/21/2016,1258.667954,5923.528958,302.3166023
s,11/22/2016,1409.401544,351.3590734,341.7220077
s,11/23/2016,763.5902637,174.6450304,242.1419878
s,11/24/2016,1915.753425,330.739726,252.8454012
s,11/25/2016,1447.919075,304.8786127,300.416185
s,11/26/2016,108.8958333,86.50833333,39.14166667
s,11/28/2016,726.7484663,157.7586912,173.2269939
s,11/28/2016,2800.436508,430.9047619,319.1428571
s,11/29/2016,1716.615087,330.4294004,312.1624758
s,11/30/2016,2436.787149,396.7710843,371.8554217
s,12/1/2016,1431.145833,330.775,248.175
s,12/2/2016,1368.319502,214.6058091,262.0829876
s,12/3/2016,1716.936416,702.982659,442.6127168
s,12/4/2016,2086.269231,420.1846154,267.5076923
s,12/5/2016,4333.899614,1497.498069,652.7258687
s,12/6/2016,2194.886598,566.3257732,414.9278351
