ct,ID-MGRS,date,,in-prog,in-est,in-cort,,,ct,ID-WMRS,date,in-prog,in-est,in-cort  ,,,ct,ID-PHX-1,date,ex-prog,ex-est,ex-cort,,ct,ID-PHX-2,date,ex-prog,ex-est,ex-cort,,ct,ID-PHX-3,date,ex-prog,ex-est,ex-cort
,,,,,,,,,,,,,,,,,59,p,6/6/2015,.,426.3673469,1057.15102,,59,s,6/5/2015,.,547.3577236,329.8292683,,59,m,6/6/2015,265.3140496,617.5619835,603.3966942
,,,,,,,,,,,,,,,,,60,p,6/7/2015,.,379.81893,920.7407407,,60,s,6/6/2015,116.8408644,446.6797642,280.4086444,,60,m,6/7/2015,485.7865613,1584.940711,.
,,,,,,,,,,,,,,,,,61,p,6/8/2015,324.2519685,440.2755906,946.3228346,,61,s,6/7/2015,214.5433526,1797.321773,718.982659,,61,m,6/8/2015,441.45,2816.6875,961.325
,,,,,,,,,,,,,,,,,62,p,6/9/2015,462.1705426,401.5503876,433.4186047,,62,s,6/8/2015,212.890595,1459.596929,665.3205374,,62,m,6/9/2015,303.8282209,1024.887526,469.2269939
,,,,,,,,,,,,,,,,,63,p,6/10/2015,413.8888889,415.031746,726.6428571,,63,s,6/9/2015,241.6943907,1023.384913,578.8549323,,63,m,6/10/2015,226.425,773.9791667,329.175
,,,,,,,,,,,,,,,,,64,p,6/11/2015,303.8845361,424.1484536,764.1154639,,64,s,6/10/2015,254.1301775,1251.99211,437.7514793,,64,m,6/11/2015,314.757764,1144.099379,449.8881988
,,,,,,,,,,,,,,,,,65,p,6/12/2015,336.627451,242.9019608,596.7058824,,65,s,6/11/2015,154.546875,821.5039063,614.296875,,65,m,6/12/2015,288.1558442,1076.536797,813.3766234
,,,,,,,,,,,,,,,,,66,p,6/13/2015,418.6773547,665.9639279,852.6973948,,66,s,6/12/2015,251.1111111,849.6296296,787.9259259,,66,m,6/13/2015,329.025,750.7708333,383.85
,,,,,,,,,,,,,,,,,67,p,6/14/2015,389.1485149,1322.811881,644.150495,,67,s,6/13/2015,285.12,1214.98,762.336,,67,m,6/14/2015,172.1162791,430.251938,227.0465116
,,,,,,,,,,,,,,,,,68,p,6/15/2015,397.2705882,540.745098,719.5058824,,68,s,6/14/2015,137.0462777,667.6861167,739.0020121,,68,m,6/15/2015,414.6585366,1209.715447,641.8780488
,,,,,,,,,,,,,,,,,69,p,6/16/2015,341.8181818,636.630303,841.7212121,,69,s,6/15/2015,246.7079304,1202.669246,1106.390716,,69,m,6/16/2015,358.7244094,1430.11811,588.8503937
,,,,,,,,,,,,,,,,,70,p,6/17/2015,443.8554217,423.0361446,640.4819277,,70,s,6/16/2015,165.7622951,319.0778689,983.6557377,,70,m,6/17/2015,288.8981289,1308.232848,1196.482328
,,,,,,,,,,,,,,,,,71,p,6/18/2015,471.5831663,816.6412826,822.0601202,,71,s,6/17/2015,200.3414634,566.199187,833.8780488,,71,m,6/18/2015,280.7307692,1456.538462,540.3692308
,,,,,,,,,,,,,,,,,72,p,6/19/2015,.,373.6895874,940.4557957,,72,s,6/18/2015,144.4855491,723.7186898,656.2312139,,72,m,6/19/2015,256.4520256,906.5671642,374.3539446
,,,,,,,,,,,,,,,,,73,p,6/20/2015,474.496124,1007.062016,986.5813953,,73,s,6/19/2015,152.5884692,434.612326,643.2286282,,73,m,6/20/2015,292.6004057,1382.981744,457.8498986
,,,,,,,,,,,,,,,,,74,p,6/21/2015,713.0864198,3377.769547,727.654321,,74,s,6/21/2015,172.0641283,737.8156313,558.4208417,,74,m,6/21/2015,254.88,965.56,324.336
,,,,,,,,,,,,,,,,,75,p,6/21/2015,318.2945736,827.4806202,529.9069767,,75,s,6/21/2015,193.3818182,555.6969697,504.969697,,75,m,6/21/2015,241.7445972,886.5225933,667.2612967
