p_date,p_est,p_cort,p_pro,,s_date,s_est,s_cort,s_pro,,m_date,m_est,m_cort,m_pro
,,,,,10-Jan-16,508.88,256.664,202.392,,7-Jan-16,987.8163265,453.4367347,144.5679012
,,,,,11-Jan-16,972.34,325.536,292.608,,8-Jan-16,1155.680473,558.8481262,326.9387755
,,,,,12-Jan-16,330.9134615,170.4326923,90.14423077,,9-Jan-16,1427.02,539.168,254.0591716
,,,,,13-Jan-16,826.4583333,309.875,225.675,,10-Jan-16,1921.461538,565.2769231,329.976
,,,,,14-Jan-16,464.99002,329.0938124,157.7964072,,11-Jan-16,1761.809145,566.6163022,336.3923077
,,,,,15-Jan-16,.,.,.,,12-Jan-16,1675,649.9,367.5149105
,,,,,16-Jan-16,753.6491935,612.9112903,318.1935484,,13-Jan-16,2844.99002,777.1576846,258.075
,,,,,17-Jan-16,1249.072165,1017.05567,319.6948454,,14-Jan-16,719.4011976,339.2095808,434.8023952
,,,,,18-Jan-16,654.4615385,791.7923077,307.5923077,,15-Jan-16,712.038835,387.2776699,214.3473054
,,,,,19-Jan-16,478.4027778,320.8333333,226.25,,16-Jan-16,732.0408163,754.922449,263.6737864
,,,,,20-Jan-16,619.1923077,401.8615385,281.9076923,,17-Jan-16,683.7649402,800.0239044,369.1102041
,,,,,21-Jan-16,1447.90099,883.009901,563.5247525,,18-Jan-16,951.6700201,1046.366197,312.310757
,,,,,22-Jan-16,337.9038462,300.9692308,176.9538462,,19-Jan-16,1506.803922,554.4941176,507.0422535
,,,,,23-Jan-16,1085.474747,569.2363636,112.6545455,,20-Jan-16,1346.605691,438.0894309,446.1176471
,,,,,24-Jan-16,844.6245059,431.4940711,329.6205534,,21-Jan-16,2155.393939,958.8929293,378.0731707
,,,,,25-Jan-16,1070.019802,502.7485149,311.9524752,,22-Jan-16,1305.489022,577.6686627,474.0363636
,,,,,26-Jan-16,390.982659,252.539499,195.2601156,,23-Jan-16,1494.603175,547.5634921,426.6826347
,,,,,27-Jan-16,997.9352227,459.0769231,261.7651822,,24-Jan-16,699.7368421,338.4777328,259.9285714
,,,,,28-Jan-16,516.9306931,347.4772277,199.3188119,,25-Jan-16,886.9685039,376.1574803,305.708502
,,,,,29-Jan-16,698.0903491,354.5462012,365.100616,,26-Jan-16,1010.909091,412.5656566,306.9212598
,,,,,30-Jan-16,1972.695313,676.609375,333.984375,,27-Jan-16,585.2631579,274.7758285,309.1636364
,,,,,31-Jan-16,860.8514851,381.5445545,233.6792079,,28-Jan-16,532.0750988,268.1343874,189.0526316
,,,,,1-Feb-16,942.6153846,329.1230769,140.7461538,,29-Jan-16,776.4848485,399.9111111,192.6640316
,,,,,2-Feb-16,990.5625,404.0583333,323.475,,30-Jan-16,1925.317919,623.0211946,299.3454545
,,,,,3-Feb-16,1158.906883,310.2753036,273.9352227,,31-Jan-16,988.4241245,372.2801556,582.7976879
,,,,,4-Feb-16,1199.141221,295.259542,239.5648855,,1-Feb-16,1568.203125,535.7265625,310.1322957
,,,,,5-Feb-16,1289.098039,429.2627451,278.5411765,,2-Feb-16,1491.284585,332.3715415,343.6875
,,,,,6-Feb-16,1379.502075,311.1120332,271.7178423,,3-Feb-16,1929.719439,510.501002,315.4624506
,,,,,7-Feb-16,1464.9501,316.0798403,305.245509,,4-Feb-16,1875.964215,573.2962227,330.5651303
,,,,,8-Feb-16,1825.645833,390.6666667,352.35,,5-Feb-16,2373.938224,553.4903475,387.554672
,,,,,9-Feb-16,1113.561077,543.5279503,268.0248447,,6-Feb-16,545.7746479,251.2354125,311.1428571
,,,,,10-Feb-16,1109.311024,352.2519685,297.1417323,,7-Feb-16,1295.769981,575.7348928,178.1891348
,,,,,11-Feb-16,2653.454545,432.5818182,454.6909091,,8-Feb-16,1659.860835,576.0795229,295.5087719
