Date,ID,Est,lest,pro,lpro,cort,lcort,maleAgg,M_Agg_Intense,lmagg,femagg,F_Agg_Intense,lfagg,in tun,lintun
16-Jun-15,m-b,1430.11811,0.316919853,588.8503937,2.77000497,358.7244094,2.554760929,2,2,2.1,1,1,1.1,4,4.1
17-Jun-15,m-b,1308.232848,0.320853723,1196.482328,3.077906288,288.8981289,2.460744729,3,3,3.1,1,1,1.1,3,3.1
18-Jun-15,m-b,1456.538462,0.316123371,540.3692308,2.732690612,280.7307692,2.448290016,1,1,1.1,0,1,0.1,2,2.1
19-Jun-15,m-b,906.5671642,0.33813485,374.3539446,2.573282414,256.4520256,2.409006134,2,2,2.1,0,1,0.1,4,4.1
20-Jun-15,m-b,1382.981744,0.318388552,457.8498986,2.660723122,292.6004057,2.466274924,1,1,1.1,1,1,1.1,1,1.1
21-Jun-15,m-b,965.56,0.33503315,324.336,2.510995156,254.88,2.406335758,2,2,2.1,1,1,1.1,3,3.1
22-Jun-15,m-b,1558.722986,0.313207758,633.5717092,2.801795777,289.697446,2.461944666,3,3,3.1,0,1,0.1,4,4.1
23-Jun-15,m-b,1604.455645,0.31198058,652.233871,2.814403348,287.4193548,2.45851601,0,1,0.1,0,1,0.1,1,1.1
24-Jun-15,m-b,892.8066528,0.338896039,468.2494802,2.670477304,233.7380457,2.368729409,1,1,1.1,0,1,0.1,1,1.1
25-Jun-15,m-b,643.125,0.356087897,550.35,2.740638971,197.4,2.295347148,3,3,3.1,0,1,0.1,4,4.1
26-Jun-15,m-b,981.4757282,0.334238053,534.8271845,2.728213474,352.8699029,2.547614618,8,5,8.1,2,2,2.1,11,11.1
27-Jun-15,m-b,491.0291262,0.371594257,537.6699029,2.730515727,253.5378641,2.404042827,4,4,4.1,2,2,2.1,5,5.1
28-Jun-15,m-b,944.3664717,0.336118573,565.8479532,2.752699749,223.2982456,2.348885311,1,1,1.1,1,1,1.1,2,2.1
29-Jun-15,m-b,1248.041667,0.322973518,1585.625,3.200200485,361.5,2.558108302,3,3,3.1,2,2,2.1,5,5.1
30-Jun-15,m-b,1617.00611,0.311651562,647.9266802,2.811525864,326.2729124,2.51358102,2,2,2.1,2,2,2.1,4,4.1
1-Jul-15,m-b,1069.036145,0.330142791,499.3253012,2.698383573,232.9156627,2.367198694,1,1,1.1,0,1,0.1,3,3.1
2-Jul-15,m-b,788.0160321,0.345240082,503.7354709,2.702202533,414.1082164,2.617113848,1,1,1.1,1,1,1.1,3,3.1
3-Jul-15,m-b,721.4893617,0.349866884,301.9729207,2.479968,198.8704062,2.298570161,3,3,3.1,0,1,0.1,5,5.1
4-Jul-15,m-b,970.9437751,0.334762313,542.8674699,2.734693818,235.4457831,2.371890917,2,2,2.1,0,1,0.1,8,8.1
5-Jul-15,m-b,386.6197183,0.386505695,280.1287726,2.447357718,162.2535211,2.21019413,3,3,3.1,1,1,1.1,4,4.1
6-Jul-15,m-b,1270.647773,0.322162335,362.0890688,2.558815414,346.8097166,2.540091257,4,4,4.1,1,1,1.1,10,10.1
24-Jul-15,m-b,873.9263804,0.339965511,1483.141104,3.171182471,360.809816,2.557278344,2,2,2.1,1,1,1.1,4,4.1
25-Jul-15,m-b,761.0784314,0.347049973,786.7764706,2.895851363,271.0588235,2.433063549,1,1,1.1,1,1,1.1,3,3.1
26-Jul-15,m-b,1187.245509,0.325251851,682.1796407,2.833898754,175.5449102,2.244388242,3,3,3.1,3,3,3.1,5,5.1
27-Jul-15,m-b,668.2341651,0.353991238,907.1861804,2.957696426,337.8886756,2.528773637,1,1,1.1,1,1,1.1,3,3.1
28-Jul-15,m-b,385.987395,0.38661192,771.8067227,2.887508557,283.9159664,2.453189816,1,1,1.1,1,1,1.1,1,1.1
29-Jul-15,m-b,712.2664016,0.350552169,837.5666004,2.923019351,302.4572565,2.480664008,1,1,1.1,0,1,0.1,1,1.1
25-Jan-16,m-b,886.9685039,0.339223589,376.1574803,2.575369703,305.708502,2.485307517,0,1,0.1,0,1,0.1,0,0.1
26-Jan-16,m-b,1010.909091,0.332810588,412.5656566,2.615493073,306.9212598,2.487026972,6,5,6.1,6,5,6.1,6,6.1
27-Jan-16,m-b,585.2631579,0.361356378,274.7758285,2.438978526,309.1636364,2.490188407,2,2,2.1,0,1,0.1,3,3.1
28-Jan-16,m-b,532.0750988,0.3668415,268.1343874,2.428352514,189.0526316,2.276582727,3,3,3.1,3,3,3.1,3,3.1
29-Jan-16,m-b,776.4848485,0.34600484,399.9111111,2.601963471,192.6640316,2.284800644,0,1,0.1,0,1,0.1,1,1.1
30-Jan-16,m-b,1925.317919,0.304460117,623.0211946,2.794502821,299.3454545,2.476172668,1,1,1.1,1,1,1.1,2,2.1
31-Jan-16,m-b,988.4241245,0.333896133,372.2801556,2.570869887,582.7976879,2.76551782,2,2,2.1,2,2,2.1,1,1.1
1-Feb-16,m-b,1568.203125,0.312949639,535.7265625,2.72894318,310.1322957,2.491546994,2,2,2.1,2,2,2.1,2,2.1
2-Feb-16,m-b,1491.284585,0.315103491,332.3715415,2.521623831,343.6875,2.536163737,2,2,2.1,2,2,2.1,2,2.1
3-Feb-16,m-b,1929.719439,0.304368216,510.501002,2.707996599,315.4624506,2.498947673,2,2,2.1,2,2,2.1,2,2.1
4-Feb-16,m-b,1875.964215,0.305509135,573.2962227,2.75837908,330.5651303,2.51925704,2,2,2.1,2,2,2.1,3,3.1
5-Feb-16,m-b,2373.938224,0.296255092,553.4903475,2.743110051,387.554672,2.588332977,0,1,0.1,0,1,0.1,0,0.1
6-Feb-16,m-b,545.7746479,0.365361754,251.2354125,2.400080855,311.1428571,2.492959835,2,2,2.1,2,2,2.1,2,2.1
7-Feb-16,m-b,1295.769981,0.321282259,575.7348928,2.760222551,178.1891348,2.250881219,2,2,2.1,2,2,2.1,3,3.1
8-Feb-16,m-b,1659.860835,0.310552093,576.0795229,2.760482438,295.5087719,2.470570377,2,2,2.1,2,2,2.1,2,2.1
9-Feb-16,m-b,2762.811881,0.290583526,582.7564356,2.765487078,360.7157058,2.557165052,2,2,2.1,2,2,2.1,9,9.1
10-Feb-16,m-b,2058.585462,0.301789409,464.1493124,2.666657711,422.9465347,2.626285471,2,2,2.1,2,2,2.1,2,2.1
11-Feb-16,m-b,2462.192308,0.294870263,486.7846154,2.687336844,340.762279,2.532451514,1,1,1.1,1,1,1.1,1,1.1
12-Feb-16,m-b,1778.31068,0.307691585,515.4640777,2.712198405,279.6923077,2.446680522,2,2,2.1,2,2,2.1,2,2.1
13-Feb-16,m-b,2588.431772,0.292994211,525.6130346,2.720666127,262.7650485,2.419567597,0,1,0.1,0,1,0.1,0,0.1
14-Feb-16,m-b,857.02,0.340948886,323.256,2.509546595,336.5376782,2.527033694,0,1,0.1,0,1,0.1,0,0.1
15-Feb-16,m-b,1532.768031,0.313924784,331.1890838,2.520076014,362.376,2.559159427,2,2,2.1,1,1,1.1,1,1.1
16-Feb-16,m-b,2113.727088,0.300747455,416.3340122,2.619441892,163.3684211,2.213168112,0,1,0.1,0,1,0.1,1,1.1
17-Feb-16,m-b,2273.910387,0.29790513,521.7678208,2.717477291,184.5458248,2.266104224,1,1,1.1,1,1,1.1,1,1.1
18-Feb-16,m-b,951.2851406,0.335760804,470.9076305,2.672935728,181.0264766,2.257742099,1,1,1.1,1,1,1.1,1,1.1
19-Feb-16,m-b,1472.217742,0.315659351,651.9758065,2.81423148,133.6565657,2.125990298,2,2,2.1,0,1,0.1,3,3.1
20-Feb-16,m-b,158.5686654,0.454500548,81.0754352,1.908889289,380.25,2.580069223,1,1,1.1,1,1,1.1,3,3.1
21-Feb-16,m-b,1455.898438,0.316142447,461.3125,2.663995223,73.09090909,1.863863364,1,1,1.1,1,1,1.1,1,1.1
22-Feb-16,m-b,1393.722772,0.318048313,526.4079208,2.721322415,271.8984375,2.434406712,3,3,3.1,2,2,2.1,3,3.1
23-Feb-16,m-b,1310.039216,0.320792044,585.654902,2.767641783,273.8138614,2.43745543,0,1,0.1,0,1,0.1,2,2.1
24-Feb-16,m-b,1149.787645,0.326731437,453.8841699,2.656945036,379.5529412,2.579272361,2,2,2.1,2,2,2.1,2,2.1
1-Mar-16,m-b,466.3600783,0.37471128,4951.726027,3.694756608,254.1686747,2.405122024,3,3,3.1,3,3,3.1,3,3.1
2-Mar-16,m-b,870.1386139,0.340183675,491.3346535,2.691377396,368.8062622,2.566798287,1,1,1.1,1,1,1.1,1,1.1
3-Mar-16,m-b,1016.546906,0.332543274,480.5429142,2.681732178,338.1861386,2.529155803,0,1,0.1,0,1,0.1,0,0.1
4-Mar-16,m-b,468.5062241,0.374431515,336.3070539,2.526735977,353.1017964,2.547899927,2,2,2.1,2,2,2.1,1,1.1
5-Mar-16,m-b,1413.034623,0.317444919,406.2729124,2.608817867,244.5311203,2.388334138,0,1,0.1,0,1,0.1,0,0.1
6-Mar-16,m-b,1181.040816,0.325492765,530.5061224,2.7246904,430.3869654,2.63385911,1,1,1.1,1,1,1.1,1,1.1
7-Mar-16,m-b,462.4902724,0.375220076,1895.486381,3.277720668,348.0979592,2.541701477,2,2,2.1,1,1,1.1,2,2.1
8-Mar-16,m-b,626.7184466,0.357516656,128.0621359,2.107420741,307.8910506,2.488397066,2,2,2.1,1,1,1.1,2,2.1
9-Mar-16,m-b,1319.524752,0.320469933,503.8415842,2.702294009,328.7533981,2.516870251,1,1,1.1,1,1,1.1,1,1.1
10-Mar-16,m-b,850.0779727,0.341359985,389.0604288,2.590017061,377.1089109,2.576466795,3,3,3.1,3,3,3.1,0,0.1
11-Mar-16,m-b,433.7449393,0.379185101,167.3036437,2.2235054,334.5964912,2.524521382,1,1,1.1,1,1,1.1,2,2.1
12-Mar-16,m-b,1358.439425,0.319178788,439.8193018,2.643274285,180.582996,2.256676854,2,2,2.1,2,2,2.1,5,5.1
13-Mar-16,m-b,822.7360308,0.343022517,372.9325626,2.571630305,349.1334702,2.542991485,0,1,0.1,0,1,0.1,0,0.1
14-Mar-16,m-b,1296.115385,0.321270311,369.6692308,2.567813304,350.0809249,2.544168448,2,2,2.1,2,2,2.1,2,2.1
15-Mar-16,m-b,1541.77551,0.313674206,502.3755102,2.70102846,340.7538462,2.532440767,2,2,2.1,2,2,2.1,3,3.1
